,country,year,sex,age,suicide_ratio,is_WC_year,is_host,in_finals,participant,won
1400,Argentina,2007,male,35-54 years,1.2870387087598198,False,False,False,False,False
1401,Argentina,2007,male,5-14 years,0.1274623603649842,False,False,False,False,False
1402,Argentina,2007,male,55-74 years,1.6958641821869216,False,False,False,False,False
1403,Argentina,2007,male,75+ years,3.543334986889661,False,False,False,False,False
1404,Argentina,2008,female,15-24 years,0.5423259819037871,False,False,False,False,False
1405,Argentina,2008,female,25-34 years,0.2974714609361427,False,False,False,False,False
1406,Argentina,2008,female,35-54 years,0.3712428825443313,False,False,False,False,False
1407,Argentina,2008,female,5-14 years,0.05844086208453295,False,False,False,False,False
1408,Argentina,2008,female,55-74 years,0.3496586134028679,False,False,False,False,False
1409,Argentina,2008,female,75+ years,0.30302622186906575,False,False,False,False,False
1410,Argentina,2008,male,15-24 years,1.8327951269349918,False,False,False,False,False
1411,Argentina,2008,male,25-34 years,1.6736306722605645,False,False,False,False,False
1412,Argentina,2008,male,35-54 years,1.2942905330875811,False,False,False,False,False
1413,Argentina,2008,male,5-14 years,0.11019719647029902,False,False,False,False,False
1414,Argentina,2008,male,55-74 years,1.7599972022506676,False,False,False,False,False
1415,Argentina,2008,male,75+ years,3.2188924224486795,False,False,False,False,False
1416,Argentina,2009,female,15-24 years,0.4906675921535072,False,False,False,False,False
1417,Argentina,2009,female,25-34 years,0.3291770292117966,False,False,False,False,False
1418,Argentina,2009,female,35-54 years,0.31733848634619427,False,False,False,False,False
1419,Argentina,2009,female,5-14 years,0.08151658105484784,False,False,False,False,False
1420,Argentina,2009,female,55-74 years,0.3556780668897065,False,False,False,False,False
